Default Monster Data					Stats								Movement and Combat					Attack 1			Attack 2			    Spell Attack		    Spell Attack 2		Resistances										Misc
#	Name	Picture	LVL	 HP 	AC	 EXP 	Treasure	Blood	Fly	Move	AI Type	Hst	Spd	Rec	Pref	Bonus	Type	Damage	Miss	Att%	Type	Damage	Miss	Use%	Spl,Mas,Skil	Use%	Spl,Mas,Skil	Fire	Air	Water	Earth	Mind	Spirit	Body	Light	Dark	Phys	Special
116	Storm Eagle	Thunderbird B	59	525	35	4071	25D30	1	Y	Med	Aggress	4	260	80	0	0	Air	8D7+5	0	0	0	0	0	20	"Lightning Bolt,M,7"	0	0	10	Imm	10	0	10	0	10	5	5	10	0
117	Thunderbird	Thunderbird C	79	861	40	7031	30D30	1	Y	Short	Suicidal	4	300	70	2	0	Air	10D7+10	0	0	0	0	0	30	"Lightning Bolt,M,9"	0	0	20	Imm	20	0	20	0	20	5	5	20	0
118	Wasp Worker	Wasp Warrior A	15	67	12	375	20%5d7+L1Dagger	0	Y	Long	Aggress	4	300	90	0	0	Phys	3D7+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	Wasp Sentry	Wasp Warrior B	18	86	14	504	20%5d9+L1Sword	0	Y	Long	Aggress	4	310	90	0	0	Phys	4D7+5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
120	Wasp Warrior	Wasp Warrior C	23	121	16	759	20%5d11+L2Sword	0	Y	Long	Suicidal	4	320	80	0	0	Phys	5D7+10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
121	Wyvern 	Wyvern A	19	93	14	551	10D15	1	Y	Free	Normal	4	250	80	d	Poison2	Phys	7D6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
122	Horned Wyvern	Wyvern B	28	162	28	1064	10D20	1	Y	Long	Aggress	4	280	70	d	Poison3	Phys	9D6	0	0	0	0	0	0	0	0	0	5	0	5	0	5	0	5	0	0	20	0
123	Ancient Wyvern	Wyvern C	37	247	42	1739	10D30	1	Y	Med	Suicidal	4	320	60	d	Dead	Phys	12D6	0	0	0	0	0	0	0	0	0	10	5	10	5	10	5	10	0	0	25	0
124	Brass Gorgon	Gorgon A	25	137	20	875	5D20	1	N	Med	Normal	2	200	90	0	Paralyze	Phys	4D4+8	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	5	5	5	5	5	20	0
125	Bronze Gorgon	Gorgon B	35	227	25	1575	10D20	1	N	Med	Aggress	2	220	90	0	Stone	Phys	5D4+10	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	10	10	10	10	10	25	0
126	Iron Gorgon	Gorgon C	45	337	30	2475	15D20	1	N	Short	Suicidal	2	240	80	0	Stone	Phys	6D4+12	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	15	15	15	15	15	30	0
127	Fire Newt	Salamander A	29	171	30	1131	11D20	0	N	Long	Normal	2	250	90	0	0	Fire	6D7	0	0	0	0	0	10	"Fire Bolt,M,5"	0	0	Imm	10	0	10	10	0	10	5	5	10	0
128	Fire Lizard	Salamander B	49	387	35	2891	17D20	0	N	Med	Aggress	2	260	80	0	0	Fire	8D7+5	0	0	0	0	0	20	"Fire Bolt,M,7"	0	0	Imm	15	0	15	15	0	15	5	5	15	0
129	Salamander 	Salamander C	69	683	40	5451	21D20	0	N	Short	Suicidal	2	300	70	2	0	Fire	10D7+10	0	0	0	0	0	30	"Fire Bolt,M,9"	0	0	Imm	20	0	20	20	0	20	5	5	20	0
130	Fire Bird	Phoenix A	39	269	30	1911	11D20	0	Y	Long	Normal	4	250	90	0	0	Fire	4D17+10	0	0	0	0	0	0	0	0	0	Imm	10	0	10	10	0	10	5	5	10	0
131	Phoenix	Phoenix B	59	525	35	4071	17D20	0	Y	Med	Aggress	4	260	80	0	0	Fire	5D17+5	0	0	0	0	0	0	0	0	0	Imm	15	0	15	15	0	15	5	5	15	0
132	Grand Phoenix	Phoenix C	79	861	40	7031	21D20	0	Y	Short	Suicidal	4	300	70	2	0	Fire	6D17+10	0	0	0	0	0	0	0	0	0	Imm	20	0	20	20	0	20	5	5	20	0
133	Triton 	Triton A	20	100	30	600	15%10d9+L1Spear	0	N	Long	Normal	2	250	90	0	0	Phys	4D7	0	0	0	0	0	0	0	0	0	0	5	Imm	5	5	0	5	0	0	5	0
134	Triton Warrior	Triton B	30	180	35	1200	15%10d13+L2Spear	0	N	Med	Aggress	2	260	80	0	0	Phys	6D7	0	0	0	0	0	0	0	0	0	0	10	Imm	10	10	0	10	0	0	10	0
135	Triton Crusader	Triton C	45	337	40	2475	15%10d15+L3Spear	0	N	Short	Suicidal	2	300	70	0	0	Phys	7D7	0	0	0	0	0	0	0	0	0	0	15	Imm	15	15	0	15	0	0	15	0
136	Young Dragon Turtle	Dragon Turtle A	50	400	60	3000	25%10D25+L4Sword	0	N	Med	Aggress	2	200	70	0	0	Phys	5D15	0	0	0	0	0	0	0	0	0	5	10	Imm	10	10	0	10	5	5	10	0
137	Dragon Turtle	Dragon Turtle B	70	700	80	5600	25%10D25+L5Spear	0	N	Short	Suicidal	2	200	70	0	0	Phys	6D15	0	0	0	0	0	0	0	0	0	10	20	Imm	20	20	0	20	5	5	20	0
138	Elder Tortoise	Dragon Turtle C	90	1080	100	9000	25%10D25+L5Dagger	0	N	Short	Suicidal	2	200	70	0	0	Phys	7D15	0	0	0	0	0	0	0	0	0	15	30	Imm	30	30	0	30	5	5	30	0
139	Rook	Raven Man A	40	280	15	2000	30%10D25+L3Sword	1	Y	Long	Aggress	4	240	90	0	0	Phys	12D7	0	0	0	0	0	0	0	0	0	10	Imm	10	0	10	0	10	5	5	10	0
140	Corbie	Raven Man B	50	400	20	3000	40%10D25+L4Sword	1	Y	Long	Aggress	4	260	80	0	0	Phys	13D7	0	0	0	0	0	0	0	0	0	20	Imm	20	0	20	0	20	5	5	20	0
141	Raven	Raven Man C	60	540	28	4200	50%10D25+L5Sword	1	Y	Long	Aggress	4	280	70	0	0	Phys	14D7	0	0	0	0	0	0	0	0	0	30	Imm	30	0	30	0	30	5	5	30	0
142	Boulder	Malevolent Boulder A	12	50	35	264	25%15D15+L3Ore	0	N	Long	Normal	3	250	90	2	BrkArmor	Phys	3D10	0	25	Phys	2D6	Rock	15	"Blades,E,4"	0	0	20	5	5	Imm	Imm	0	10	0	0	5	"explode,4D5,earth"
143	Boulder	Malevolent Boulder B	20	100	50	600	35%20D20+L4Ore	0	N	Med	Aggress	3	260	80	2	BrkArmor	Phys	4D10	0	25	Phys	4D6	Rock	20	"Blades,M,7"	0	0	25	10	10	Imm	Imm	0	20	0	0	10	"explode,4D5,earth"
144	Boulder	Malevolent Boulder C	35	227	80	1575	45%25D25+L5Ore	0	N	Short	Suicidal	3	300	70	3	BrkArmor	Phys	5D10	0	25	Phys	6D6	Rock	25	"Rock Blast,N,4"	0	0	30	15	15	Imm	Imm	0	30	0	0	15	"explode,4D5,earth"
145	Plane Guardian	Plane Guardian A	50	400	60	3000	30%200D10+L5	1	N	Med	Suicidal	2	200	70	0	0	Phys	5D8+10	0	0	0	0	0	20	"Paralyze,M,9"	0	0	15	15	15	15	15	15	15	15	15	0	0
146	Plane Protector	Plane Guardian B	70	700	80	5600	30%250D10+L5	1	N	Short	Suicidal	2	200	70	0	0	Phys	6D8+15	0	0	0	0	0	30	"Paralyze,M,9"	0	0	25	25	25	25	25	25	25	25	25	0	0
147	Plane Overlord	Plane Guardian C	90	1080	100	9000	40%250D12+L6	1	N	Short	Suicidal	2	200	70	0	0	Phys	10D8+20	0	0	0	0	0	40	"Paralyze,M,9"	0	0	30	30	30	30	30	30	30	30	30	0	0
148	Crystal Walker	Crystal Walker A	60	540	0	4200	30%200D10+L5	0	N	Short	Suicidal	3	280	90	0	Paralyze	Air	15D4	0	35	Air	15D4	Air	0	0	0	0	15	15	15	15	15	15	15	15	15	0	0
149	Crystal Sentry	Crystal Walker B	80	880	0	7200	30%250D10+L5	0	N	Short	Suicidal	3	280	80	0	Paralyze	Air	20D4	0	45	Air	20D4	Air	0	0	0	0	25	25	25	25	25	25	25	25	25	0	0
150	Crystal Guardian	Crystal Walker C	100	1300	0	11000	30%250D12+L6	0	N	Short	Suicidal	3	330	70	0	Paralyze	Air	25D4	0	55	Air	25D4	Air	0	0	0	0	30	30	30	30	30	30	30	30	30	0	0
151	Fear	Nightmare A	50	400	60	3000	25%8D30+L3Ring	1	N	Med	Aggress	3	200	70	2	Afraid	Phys	6D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imm	0
152	Terror	Nightmare B	70	700	80	5600	25%8D30+L4Ring	1	N	Short	Suicidal	3	200	70	2	Insane	Phys	8D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imm	0
153	Nightmare	Nightmare C	90	1080	100	9000	25%8D30+L5Ring	1	N	Short	Suicidal	3	200	70	3	Insane	Phys	10D8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Imm	0
154	Ether Knight	Ether Knight A	40	280	40	2000	30%10d25+L5Chain	1	N	Med	Normal	2	220	70	0	0	Phys	7D7	0	20	Air	3D10	Air	0	0	0	0	15	15	15	15	15	15	15	15	15	0	0
155	Ether Champion	Ether Knight B	58	510	50	3944	30%10d25+L5Plate	1	N	Med	Aggress	2	240	70	0	0	Phys	7D7+10	0	40	Water	4D10	Water	0	0	0	0	25	25	25	25	25	25	25	25	25	0	0
156	Ether Lord	Ether Knight C	71	717	60	5751	30%10d25+L5Sword	1	N	Short	Aggress	2	280	70	0	0	Phys	7D7+25	0	60	Fire	5D10	Fire	0	0	0	0	30	30	30	30	30	30	30	30	30	0	0
157	Charger	Juggernaut A	45	337	35	2475	20%5D50+L1Ore	0	N	Long	Normal	2	250	80	0	BrkWeapon	Phys	3D10+20	0	0	0	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	0	0	50	0
158	Juggernaut	Juggernaut B	60	540	50	4200	30%10D50+L3Ore	0	N	Med	Aggress	2	260	70	0	BrkArmor	Phys	4D10+30	0	0	0	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	0	0	50	0
159	Demolisher	Juggernaut C	85	977	80	8075	40%15D50+L6Ore	0	N	Short	Suicidal	2	300	60	0	BrkArmorx2	Phys	5D10+40	0	0	0	0	0	0	0	0	0	0	0	0	Imm	Imm	0	0	0	0	50	0
160	Smoke Gog	Gog A	10	40	6	200	5d15	1	N	Short	Normal	3	265	90	0	0	Fire	1D10+2	Fire	0	0	0	0	20	"Fire Bolt,E,5"	0	0	15	0	0	0	0	0	0	0	0	0	"explode,2D5,fire"
161	Ember Gog	Gog B	13	55	10	299	8d15	1	N	Short	Normal	3	285	85	0	0	Fire	1D10+6	Fire	0	0	0	0	25	"Fire Bolt,E,7"	0	0	25	0	0	0	0	0	0	0	0	0	"explode,3D5,fire"
162	Fire Gog	Gog C	19	93	14	551	11d15	1	N	Short	Aggress	3	300	80	0	0	Fire	2D10+8	Fire	0	0	0	0	30	"Fireball,E,3"	0	0	30	0	0	0	0	0	0	0	0	0	"explode,4D5,fire"
163	Skeletal Dragon	Bone Dragon A	30	180	0	1200	35%10D20+L2Amulet	0	Y	Short	Aggress	4	140	95	0	Afraid	Dark	5D6	Dark	0	0	0	0	0	0	0	0	5	5	5	5	Imm	0	5	0	Imm	5	0
164	Bone Dragon	Bone Dragon B	45	337	0	2475	25%15D20+L3Amulet	0	Y	Short	Aggress	4	160	95	0	Curse	Dark	7D6	Dark	0	0	0	0	0	0	0	0	10	10	10	10	Imm	0	10	0	Imm	10	0
165	Undead Dragon	Bone Dragon C	60	540	0	4200	15%18D20+L4Amulet	0	Y	Short	Suicidal	4	180	95	0	Insane	Dark	9D6	Dark	0	0	0	0	0	0	0	0	15	15	15	15	Imm	0	15	0	Imm	15	0
166	Human Peasant	Bedraggled Human (peasant) A	1	3	3	11	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
167	Human Peasant	Bedraggled Human (peasant) B	2	6	5	24	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
168	Human Peasant	Bedraggled Human (peasant) C	3	9	6	39	1	1	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
169	Naga 	Naga A	20	100	10	600	5%5D20+L1Sword	0	N	Short	Normal	2	185	70	o	Poison1x2	Phys	5D3+6	0	20	Water	2D6	0	5	"Blades,N,2"	0	0	5	0	5	0	0	0	0	0	0	5	0
170	Naga Warrior	Naga B	28	162	12	1064	10%7D20+L2Sword	0	N	Short	Aggress	2	210	70	o	Poison1x3	Phys	8D3+6	0	20	Water	3D6	0	7	"Blades,N,3"	0	0	10	5	10	5	0	0	0	0	0	10	0
171	Naga Queen	Naga C	38	258	16	1824	15%10D20+L3Sword	0	N	Short	Suicidal	2	235	50	o	Poison2x4	Phys	10D3+6	0	20	Water	4D6	0	10	"Blades,N,4"	0	0	15	10	15	10	0	0	0	0	0	15	0
172	Skeleton Bowman	Skeletons Archer A	11	45	14	231	5%5D20+L1Bow	0	N	Short	Normal	3	140	90	0	0	Phys	2D6+2	Arrow	10	Fire	2D6+2	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	30	0	0
173	Skeleton Hunter	Skeletons Archer B	13	55	16	299	10%7D20+L2Bow	0	N	Short	Aggress	3	150	90	0	0	Phys	3D6+3	Arrow	10	Fire	3D6+3	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	40	0	0
174	Skeleton Archer 	Skeletons Archer C	17	79	22	459	15%10D20+L3Bow	0	N	Short	Aggress	3	160	80	0	0	Phys	3D7+3	Arrow	15	Fire	3D7+3	FireAr	0	0	0	0	0	0	0	0	Imm	0	0	0	50	0	0
175	Dark Dwarf Grunt	Dark Dwarf A	17	79	12	459	20%15D8+L1Gem	1	N	Med	Aggress	2	240	90	0	0	Phys	3D5+10	0	0	0	0	0	0	0	0	0	10	10	10	Imm	10	0	10	0	0	10	0
176	Dark Dwarf Pounder	Dark Dwarf B	24	129	14	816	20%15D10+L2Gem	1	N	Med	Aggress	2	260	80	0	0	Phys	3D5+15	0	0	0	0	0	0	0	0	0	15	15	15	Imm	15	0	15	0	0	15	0
177	Dark Dwarf Berserker	Dark Dwarf C	31	189	16	1271	40%15D16+L3Gem	1	N	Med	Aggress	2	280	70	0	0	Phys	3D5+25	0	0	0	0	0	0	0	0	0	20	20	20	Imm	20	0	20	0	0	20	0
178	Fish	School of Fish (non-combatant) A	1	3	3	11	0	0	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Fish	School of Fish (non-combatant) B	1	3	3	11	0	0	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	Fish	School of Fish (non-combatant) C	1	3	3	11	0	0	N	Long	Wimp	4	140	100	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Pirate	Wimpy Pirate Warrior Male A	8	20	0	75	5D2	1	N	Long	Normal	2	155	90	0	0	Phys	2D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Buccaneer	Wimpy Pirate Warrior Male B	11	35	0	125	7D2	1	N	Long	Aggress	2	175	80	0	0	Phys	2D5+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	Corsair	Wimpy Pirate Warrior Male C	15	50	0	195	60%10D2+L1Sword	1	N	Free	Suicidal	2	195	70	0	0	Phys	2D5+4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	Regnan Crossbowman	Wimpy Pirate Crossbowman (Female) A	5	17	0	75	5D2	1	N	Long	Normal	3	110	100	0	0	Phys	1D9+3	0	20	Phys	4D3	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	Regnan Arbalester	Wimpy Pirate Crossbowman (Female) B	8	30	0	144	7D2	1	N	Long	Aggress	3	130	100	0	0	Phys	1D9+5	0	30	Phys	4D3+1	Arrow	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
186	Regnan Lieutenant	Wimpy Pirate Crossbowman (Female) C	10	40	0	200	60%10D2+L1Bow	1	N	Free	Suicidal	3	160	90	0	0	Phys	1D9+7	0	40	Phys	4D3+4	Arrow	0	0	0	0	5	5	5	5	5	5	5	0	0	0	0
187	Pirate Seer	Wimpy Pirate Mage Male A	1	3	0	11	5D2	1	N	Long	Aggress	3	110	90	0	0	Phys	2d4+1	0	0	0	0	0	30	"Fire Bolt,E,4"	0	0	0	0	0	0	0	0	0	0	0	0	0
188	Pirate Magi	Wimpy Pirate Mage Male B	2	6	0	24	7D2	1	N	Long	Aggress	3	130	80	0	0	Phys	2d4+2	0	0	0	0	0	40	"Lightning Bolt,E,4"	0	0	0	0	0	0	0	0	0	0	0	0	0
189	Pirate Wizard	Wimpy Pirate Mage Male C	3	9	0	39	50%10D2+L1Scroll	1	N	Long	Aggress	3	150	70	0	0	Phys	3d4+4	0	0	0	0	0	50	"Poison Spray,E,4"	0	0	5	5	5	5	5	5	5	0	0	0	0
190	Hatchling	Wimpy Dragon A	15	67	40	375	4D8	0	Y	Med	Aggress	4	180	70	k	0	Water	5D10	Water	0	0	0	0	0	0	0	0	10	10	10	10	10	0	10	0	0	10	0
191	Dragonette	Wimpy Dragon B	35	227	50	1575	4D12	0	Y	Med	Aggress	4	160	70	k	0	Water	7D10	Water	0	0	0	0	0	0	0	0	15	15	15	15	15	0	15	0	0	15	0
192	Young Dragon	Wimpy Dragon C	60	540	60	4200	4D20	0	Y	Short	Aggress	4	140	70	k	0	Water	9D10	Water	0	0	0	0	0	0	0	0	20	20	20	20	20	0	20	0	0	20	0
193	Soldier of Fortune	Human Mercenary A	10	40	10	200	5d6	1	N	Long	Aggress	2	265	90	0	0	Phys	3D7+4	0	0	0	0	0	0	0	0	0	5	5	5	5	5	5	5	0	0	0	0
194	Mercenary	Human Mercenary B	17	79	15	459	15%5d6+L2Sword	1	N	Med	Aggress	2	285	80	0	0	Phys	3D7+6	0	0	0	0	0	0	0	0	0	10	10	10	10	10	10	10	0	0	0	0
195	Mercenary Captain	Human Mercenary C	24	129	20	816	25%5d6+L3Sword	1	N	Short	Aggress	2	300	70	0	0	Phys	3D7+8	0	0	0	0	0	0	0	0	0	15	15	15	15	15	15	15	0	0	0	0
196	Chaos Guardian	Wimpy Plane Guardian A	50	400	60	3000	30%200D10+L5	0	N	Med	Suicidal	2	200	70	0	0	Phys	15D4	0	0	0	0	0	20	"Paralyze,M,9"	0	0	15	15	15	15	15	15	15	15	15	0	0
197	Chaos Protector	Wimpy Plane Guardian B	70	700	80	5600	30%250D10+L5	0	N	Short	Suicidal	2	200	70	0	0	Phys	20D4	0	0	0	0	0	30	"Paralyze,M,9"	0	0	25	25	25	25	25	25	25	25	25	0	0
198	Chaos Overlord	Wimpy Plane Guardian C	90	1080	100	9000	30%250D12+L6	0	N	Short	Suicidal	2	200	70	0	0	Phys	25D4	0	0	0	0	0	40	"Paralyze,M,9"	0	0	30	30	30	30	30	30	30	30	30	0	0
199	Angel	Angel A	30	180	25	1200	5%50D20+L4Sword	1	Y	Free	Aggress	3	250	60	0	0	Phys	2D8+10	0	0	0	0	0	30	"Light Bolt,M,8"	20	"Dispel Magic,M,8"	20	20	20	20	30	15	30	Imm	10	20	0
200	Angel Lord	Angel B	50	400	35	3000	10%75D20+L5Sword	1	Y	Free	Aggress	3	275	50	0	0	Phys	2D8+15	0	0	0	0	0	30	"Light Bolt,M,12"	50	"Day of Protection,M,12"	30	30	30	30	40	15	40	Imm	10	20	0
201	Archangel	Angel C	70	700	45	5600	15%100D20+L6Sword	1	Y	Free	Suicidal	3	300	40	2	0	Phys	2D8+20	0	0	0	0	0	30	"Light Bolt,G,16"	50	"Hour of Power,G,16"	40	40	40	40	50	15	50	Imm	10	20	0
202	Archer	Archer A	9	35	14	171	5%3D20+L1Bow	1	N	Short	Normal	4	140	90	AR	0	Phys	2D6+2	Arrow	10	Fire	3D6+2	FireAr	0	0	50	"Shield,N,4"	5	5	5	5	10	10	10	0	0	5	0
203	Bowman	Archer B	19	93	16	551	5%6D20+L2Bow	1	N	Short	Aggress	4	150	90	AR	0	Phys	3D6+3	Arrow	10	Fire	4D6+3	FireAr	20	"Lightning Bolt,E,4"	50	"Shield,E,8"	10	10	10	10	15	10	15	0	0	10	0
204	Elite Archer	Archer C	29	171	22	1131	10%10D20+L3Bow	1	N	Short	Aggress	4	160	80	AR	0	Phys	3D7+3	Arrow	15	Fire	4D7+3	FireAr	20	"Lightning Bolt,M,8"	50	"Shield,M,12"	15	15	15	15	20	10	20	0	0	15	0
205	Giant Bat	Bat A	3	9	5	39	0	1	Y	Free	Normal	3	280	50	0	Disease1	Phys	1D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
206	Vampire Bat	Bat B	6	21	8	96	5%L1Ring	1	Y	Free	Normal	3	300	50	0	Disease1	Phys	1D3+2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
207	Inferno Bat	Bat C	9	35	10	171	5%L2Ring	1	Y	Free	Aggress	3	320	50	0	Disease2	Phys	2D3+2	0	15	Fire	3D2	Fire	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
208	Young Behemoth	Behemoth A	45	337	35	2475	50D10	1	N	Long	Normal	2	250	80	2	BrkArmor	Phys	3D10+20	0	0	0	0	0	0	0	0	0	30	30	30	30	Imm	0	30	15	15	20	0
209	Behemoth	Behemoth B	60	540	50	4200	100D10	1	N	Med	Aggress	2	260	70	2	BrkArmor	Phys	4D10+30	0	0	0	0	0	0	0	0	0	40	40	40	40	Imm	0	40	15	15	25	0
210	Ancient Behemoth	Behemoth C	85	977	80	8075	200D10	1	N	Short	Suicidal	2	300	60	3	BrkArmor	Phys	5D10+40	0	0	0	0	0	0	0	0	0	50	50	50	50	Imm	0	50	15	15	30	0
211	Floating Eye	Beholder A	30	180	20	1200	10%10D10+L4Ring	1	Y	Med	Aggress	3	140	70	S	Asleep	Water	5D6	Water	0	0	0	0	0	0	0	0	30	30	Imm	30	Imm	15	Imm	10	15	30	0
212	Gazer	Beholder B	40	280	30	2000	20%15D10+L5Ring	1	Y	Med	Aggress	3	160	60	SD	Afraid	Fire	6D6	Fire	0	0	0	0	0	0	0	0	Imm	40	30	40	Imm	15	Imm	10	15	40	0
213	Evil Eye	Beholder C	50	400	40	3000	30%20D10+L6Ring	1	Y	Short	Aggress	3	180	50	0	Insane	Air	7D6	Air	0	0	0	0	0	0	0	0	40	Imm	40	50	Imm	15	Imm	10	15	50	"shot,x3"
214	Acolyte of the Moon	Cleric Moon A	10	40	10	200	5%5D10+L2Mace	1	N	Med	Normal	2	160	90	CP	0	Phys	2D4	Air	0	0	0	0	30	"Toxic Cloud,N,4"	0	0	5	5	5	5	5	0	5	0	Imm	10	0
215	Cleric of the Moon	Cleric Moon B	20	100	15	600	5%10D10+L3Mace	1	N	Med	Normal	2	180	90	CP	0	Phys	2D4+4	Air	0	0	0	0	30	"Toxic Cloud,E,7"	10	"Bless,E,7"	10	10	10	10	10	0	10	0	Imm	15	0
216	Priest of the Moon	Cleric Moon C	30	180	25	1200	10%20D10+L4Mace	1	N	Med	Aggress	2	200	80	CP	0	Phys	2D4+8	Dark	0	0	0	0	30	"Shrapmetal,M,10"	33	"Power Cure,G,10"	15	15	15	15	15	0	15	0	Imm	20	0
217	Acolyte of the Sun	Cleric Sun A	10	40	10	200	5%5D10+L2Cape	1	N	Med	Normal	2	160	90	CP	0	Phys	2D4	Fire	0	0	0	0	30	"Light Bolt,N,4"	0	0	5	5	5	5	5	0	5	Imm	0	10	0
218	Cleric of the Sun	Cleric Sun B	20	100	15	600	5%10D10+L3Cape	1	N	Med	Normal	2	180	90	CP	0	Phys	2D4+4	Fire	0	0	0	0	30	"Mind Blast,E,7"	10	"Bless,E,7"	10	10	10	10	10	0	10	Imm	0	15	0
219	Priest of the Sun	Cleric Sun C	30	180	25	1200	10%20D10+L4Cape	1	N	Med	Aggress	2	200	80	CP	0	Phys	2D4+8	Light	0	0	0	0	30	"Light Bolt,N,10"	33	"Power Cure,G,10"	15	15	15	15	15	0	15	Imm	0	20	0
220	Devil Worker	Devil A	30	180	25	1200	0	1	N	Med	Suicidal	2	200	60	0	Disease2	Phys	2D6+8	Fire	0	0	0	0	20	"Fireball,E,6"	0	0	Imm	20	20	20	Imm	25	20	20	20	20	0
221	Devil Warrior	Devil B	50	400	35	3000	0	1	N	Med	Aggress	2	250	50	0	Disease3	Phys	2D6+14	Fire	0	0	0	0	20	"Fireball,E,8"	15	"Meteor Shower,M,8"	Imm	30	30	30	Imm	25	30	30	30	30	0
222	Devil Captain	Devil C	70	700	45	5600	0	1	N	Short	Aggress	2	300	40	0	DrainSP	Phys	2D6+20	Fire	0	0	0	0	20	"Incinerate,M,12"	15	"Meteor Shower,M,12"	Imm	40	40	40	Imm	25	40	40	40	40	0
223	Green Dragon	ADragon A	80	880	60	7200	250D10+L6	1	Y	Long	Aggress	4	240	70	2	0	Air	12D8	Air	0	0	0	0	0	0	0	0	50	Imm	50	50	50	15	Imm	30	30	50	0
224	Blue Dragon	ADragon B	90	1080	80	9000	250D12+L6	1	Y	Med	Aggress	4	260	65	3	0	Water	14D8	Water	0	0	0	0	0	0	0	0	50	50	Imm	50	50	15	Imm	30	30	50	0
225	Red Dragon	ADragon C	100	1300	100	11000	250D16+L6	1	Y	Short	Aggress	4	300	60	4	BrkArmor	Fire	16D8	Fire	0	0	0	0	0	0	0	0	Imm	70	70	70	70	15	Imm	30	30	70	0
226	Dragonfly	Dragonfly A	2	6	4	24	3D6	1	Y	Free	Normal	3	400	50	0	0	Phys	2D2	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0
227	Fire Dragonfly	Dragonfly B	4	13	8	56	7D6	1	Y	Free	Normal	3	350	50	0	0	Phys	3D2+1	0	0	0	0	0	10	"Fire Bolt,N,2"	0	0	20	0	0	0	0	0	0	0	0	0	0
228	Queen Dragonfly	Dragonfly C	8	30	12	144	10D6	1	Y	Free	Normal	3	300	50	0	0	Phys	4D2+2	0	0	0	0	0	15	"Fire Bolt,N,4"	0	0	30	0	0	0	0	0	0	0	0	0	0
229	Dwarven Soldier	Dwarf A	10	40	6	200	5%5D10+L1Axe	1	N	Med	Normal	2	160	70	G	0	Phys	4D2+4	0	0	0	0	0	0	0	0	0	10	20	20	30	5	0	10	0	0	30	0
230	Dwarven Lieutenant	Dwarf B	20	100	12	600	10%10D10+L2Axe	1	N	Med	Aggress	2	180	80	G	0	Phys	4D2+8	0	0	0	0	0	0	0	0	0	20	30	30	40	5	0	20	0	0	40	0
231	Dwarven Commander	Dwarf C	30	180	20	1200	25%20D10+L3Axe	1	N	Short	Suicidal	2	200	80	G	BrkArmor	Phys	4D2+16	0	0	0	0	0	0	0	0	0	30	40	40	50	5	0	30	0	0	50	0
232	Tempest	Elemental Air A	16	73	10	416	0	0	Y	Free	Suicidal	3	220	90	0	0	Air	3D6	Air	0	0	0	0	20	"Sparks,E,4"	0	0	10	Imm	10	10	Imm	Imm	Imm	5	5	10	0
